"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"03.04.2023","members","Новые подписчики","",1
"28.03.2023","views","","",0
"28.03.2023","visitors","","",0
"28.03.2023","feedback","Нравится","",1
"27.03.2023","views","","",0
"27.03.2023","visitors","","",0
"27.03.2023","members","Новые подписчики","",1
"27.03.2023","members","Отписавшиеся подписчики","",1
"22.03.2023","views","","",0
"22.03.2023","visitors","","",0
"22.03.2023","members","Новые подписчики","",1
"16.03.2023","views","","",0
"16.03.2023","visitors","","",0
"16.03.2023","members","Новые подписчики","",1
"14.03.2023","views","","",0
"14.03.2023","visitors","","",0
"14.03.2023","members","Отписавшиеся подписчики","",1
"12.03.2023","views","","",0
"12.03.2023","visitors","","",0
"12.03.2023","members","Новые подписчики","",1
"18.02.2023","views","","",0
"18.02.2023","visitors","","",0
"18.02.2023","members","Отписавшиеся подписчики","",1
"02.02.2023","views","","",0
"02.02.2023","visitors","","",0
"02.02.2023","members","Отписавшиеся подписчики","",1
"29.01.2023","views","","",0
"29.01.2023","visitors","","",0
"29.01.2023","members","Новые подписчики","",1
"15.01.2023","views","","",0
"15.01.2023","visitors","","",0
"15.01.2023","members","Новые подписчики","",1
"15.01.2023","members","Отписавшиеся подписчики","",2
"13.01.2023","views","","",0
"13.01.2023","visitors","","",0
"13.01.2023","members","Новые подписчики","",1
"13.01.2023","members","Отписавшиеся подписчики","",1
"08.01.2023","views","","",0
"08.01.2023","visitors","","",0
"08.01.2023","members","Новые подписчики","",1
"25.12.2022","views","","",0
"25.12.2022","visitors","","",0
"25.12.2022","members","Новые подписчики","",1
"25.12.2022","members","Отписавшиеся подписчики","",1
"23.12.2022","views","","",0
"23.12.2022","visitors","","",0
"23.12.2022","members","Отписавшиеся подписчики","",1
"20.12.2022","views","","",0
"20.12.2022","visitors","","",0
"20.12.2022","members","Новые подписчики","",1
"20.12.2022","members","Отписавшиеся подписчики","",1
"18.12.2022","views","","",0
"18.12.2022","visitors","","",0
"18.12.2022","members","Новые подписчики","",1
"18.12.2022","members","Отписавшиеся подписчики","",1
"15.12.2022","views","","",0
"15.12.2022","visitors","","",0
"15.12.2022","members","Новые подписчики","",1
"15.12.2022","members","Отписавшиеся подписчики","",1
"14.12.2022","views","","",0
"14.12.2022","visitors","","",0
"14.12.2022","feedback","Нравится","",7
"14.12.2022","members","Новые подписчики","",1
"13.12.2022","views","","",0
"13.12.2022","visitors","","",0
"13.12.2022","feedback","Нравится","",1
"19.11.2022","views","","",0
"19.11.2022","visitors","","",0
"19.11.2022","members","Новые подписчики","",1
"16.11.2022","views","","",0
"16.11.2022","visitors","","",0
"16.11.2022","members","Новые подписчики","",1
"12.11.2022","views","","",0
"12.11.2022","visitors","","",0
"12.11.2022","feedback","Нравится","",1
"05.11.2022","views","","",0
"05.11.2022","visitors","","",0
"05.11.2022","members","Отписавшиеся подписчики","",1
"30.10.2022","views","","",0
"30.10.2022","visitors","","",0
"30.10.2022","members","Новые подписчики","",1
"27.10.2022","views","","",0
"27.10.2022","visitors","","",0
"27.10.2022","members","Отписавшиеся подписчики","",1
"25.10.2022","views","","",0
"25.10.2022","visitors","","",0
"25.10.2022","members","Новые подписчики","",1
"03.10.2022","views","","",0
"03.10.2022","visitors","","",0
"03.10.2022","members","Новые подписчики","",1
"25.09.2022","views","","",0
"25.09.2022","visitors","","",0
"25.09.2022","feedback","Нравится","",1
"18.08.2022","views","","",0
"18.08.2022","visitors","","",0
"18.08.2022","members","Отписавшиеся подписчики","",1
"16.08.2022","views","","",0
"16.08.2022","visitors","","",0
"16.08.2022","members","Новые подписчики","",1
"10.08.2022","views","","",0
"10.08.2022","visitors","","",0
"10.08.2022","members","Отписавшиеся подписчики","",1
"07.08.2022","views","","",0
"07.08.2022","visitors","","",0
"07.08.2022","members","Отписавшиеся подписчики","",1
"13.07.2022","views","","",0
"13.07.2022","visitors","","",0
"13.07.2022","members","Отписавшиеся подписчики","",1
"12.07.2022","views","","",0
"12.07.2022","visitors","","",0
"12.07.2022","members","Новые подписчики","",1
"01.07.2022","views","","",0
