"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"19.07.2019","views","","",0
"19.07.2019","visitors","","",0
"19.07.2019","members","Отписавшиеся подписчики","",2
"09.07.2019","views","","",0
"09.07.2019","visitors","","",0
"09.07.2019","members","Новые подписчики","",1
"21.06.2019","views","","",0
"21.06.2019","visitors","","",0
"21.06.2019","members","Новые подписчики","",1
"12.06.2019","views","","",0
"12.06.2019","visitors","","",0
"13.06.2019","members","Отписавшиеся подписчики","",1
"10.06.2019","views","","",0
"10.06.2019","visitors","","",0
"10.06.2019","members","Новые подписчики","",1
"08.06.2019","views","","",0
"08.06.2019","visitors","","",0
"08.06.2019","members","Новые подписчики","",2
"02.06.2019","views","","",0
"02.06.2019","visitors","","",0
"02.06.2019","members","Отписавшиеся подписчики","",3
"01.06.2019","views","","",0
"01.06.2019","visitors","","",0
"01.06.2019","members","Новые подписчики","",1
"30.05.2019","views","","",0
"30.05.2019","visitors","","",0
"21.05.2019","views","","",0
"21.05.2019","visitors","","",0
"21.05.2019","feedback","Нравится","",2
"15.05.2019","views","","",0
"15.05.2019","visitors","","",0
"15.05.2019","members","Новые подписчики","",1
"11.05.2019","views","","",0
"11.05.2019","visitors","","",0
"11.05.2019","members","Отписавшиеся подписчики","",1
"09.05.2019","views","","",0
"09.05.2019","visitors","","",0
"09.05.2019","members","Новые подписчики","",1
"05.05.2019","views","","",0
"05.05.2019","visitors","","",0
"05.05.2019","members","Новые подписчики","",1
"03.05.2019","views","","",0
"03.05.2019","visitors","","",0
"03.05.2019","members","Отписавшиеся подписчики","",1
"02.05.2019","views","","",0
"02.05.2019","visitors","","",0
"03.05.2019","members","Новые подписчики","",1
"01.05.2019","views","","",0
"01.05.2019","visitors","","",0
"02.05.2019","feedback","Нравится","",1
"23.04.2019","views","","",0
"23.04.2019","visitors","","",0
"23.04.2019","feedback","Нравится","",1
"22.04.2019","views","","",0
"22.04.2019","visitors","","",0
"22.04.2019","feedback","Нравится","",15
"10.04.2019","views","","",0
"10.04.2019","visitors","","",0
"10.04.2019","members","Новые подписчики","",1
"16.03.2019","views","","",0
"16.03.2019","visitors","","",0
"16.03.2019","members","Отписавшиеся подписчики","",1
"15.03.2019","views","","",0
"15.03.2019","visitors","","",0
"15.03.2019","feedback","Нравится","",1
"13.03.2019","views","","",0
"13.03.2019","visitors","","",0
"13.03.2019","members","Отписавшиеся подписчики","",1
"14.02.2019","views","","",0
"14.02.2019","visitors","","",0
"14.02.2019","feedback","Нравится","",1
"06.02.2019","views","","",0
"06.02.2019","visitors","","",0
"06.02.2019","feedback","Нравится","",1
"05.02.2019","views","","",0
"05.02.2019","visitors","","",0
"05.02.2019","members","Новые подписчики","",1
"02.02.2019","views","","",0
"02.02.2019","visitors","","",0
"02.02.2019","feedback","Нравится","",3
"24.01.2019","views","","",0
"24.01.2019","visitors","","",0
"24.01.2019","feedback","Нравится","",1
"23.01.2019","views","","",0
"23.01.2019","visitors","","",0
"23.01.2019","members","Новые подписчики","",1
"23.01.2019","members","Отписавшиеся подписчики","",1
"20.01.2019","views","","",0
"20.01.2019","visitors","","",0
"20.01.2019","members","Новые подписчики","",1
"20.01.2019","members","Отписавшиеся подписчики","",1
"13.01.2019","views","","",0
"13.01.2019","visitors","","",0
"13.01.2019","members","Отписавшиеся подписчики","",1
"11.01.2019","views","","",0
"11.01.2019","visitors","","",0
"11.01.2019","members","Новые подписчики","",1
"10.01.2019","views","","",0
"10.01.2019","visitors","","",0
"10.01.2019","feedback","Нравится","",1
"10.01.2019","members","Новые подписчики","",1
"05.01.2019","views","","",0
"05.01.2019","visitors","","",0
"05.01.2019","members","Новые подписчики","",1
"01.01.2019","views","","",0
"01.01.2019","visitors","","",0
"02.01.2019","members","Новые подписчики","",1
"26.12.2018","views","","",0
"26.12.2018","visitors","","",0
"26.12.2018","members","Новые подписчики","",1
"22.12.2018","views","","",0
"22.12.2018","visitors","","",0
"22.12.2018","feedback","Нравится","",1
"30.11.2018","views","","",0
"30.11.2018","visitors","","",0
"30.11.2018","members","Отписавшиеся подписчики","",1
"21.11.2018","views","","",0
"21.11.2018","visitors","","",0
"21.11.2018","members","Новые подписчики","",1
"06.11.2018","views","","",0
"06.11.2018","visitors","","",0
"07.11.2018","members","Новые подписчики","",1
"26.10.2018","views","","",0
"26.10.2018","visitors","","",0
"26.10.2018","members","Новые подписчики","",1
"20.10.2018","views","","",0
"20.10.2018","visitors","","",0
"20.10.2018","members","Новые подписчики","",1
"17.10.2018","views","","",0
"17.10.2018","visitors","","",0
"17.10.2018","members","Отписавшиеся подписчики","",1
"15.10.2018","views","","",0
"15.10.2018","visitors","","",0
"15.10.2018","members","Отписавшиеся подписчики","",2
"13.10.2018","views","","",0
"13.10.2018","visitors","","",0
"13.10.2018","feedback","Нравится","",1
"12.10.2018","views","","",0
"12.10.2018","visitors","","",0
"12.10.2018","members","Новые подписчики","",1
"10.10.2018","views","","",0
"10.10.2018","visitors","","",0
"10.10.2018","feedback","Нравится","",1
"27.09.2018","views","","",0
"27.09.2018","visitors","","",0
"27.09.2018","members","Новые подписчики","",1
"19.09.2018","views","","",0
"19.09.2018","visitors","","",0
"19.09.2018","members","Новые подписчики","",1
"17.09.2018","views","","",0
"17.09.2018","visitors","","",0
"17.09.2018","members","Новые подписчики","",1
"15.09.2018","views","","",0
"15.09.2018","visitors","","",0
"16.09.2018","feedback","Нравится","",1
"22.08.2018","views","","",0
"22.08.2018","visitors","","",0
"22.08.2018","feedback","Нравится","",1
"08.07.2018","views","","",0
"08.07.2018","visitors","","",0
"08.07.2018","members","Отписавшиеся подписчики","",1
"07.07.2018","views","","",0
"07.07.2018","visitors","","",0
"07.07.2018","members","Отписавшиеся подписчики","",1
"25.06.2018","views","","",0
"25.06.2018","visitors","","",0
"25.06.2018","members","Отписавшиеся подписчики","",1
"17.06.2018","views","","",0
"17.06.2018","visitors","","",0
"17.06.2018","members","Новые подписчики","",1
"17.06.2018","members","Отписавшиеся подписчики","",1
"03.06.2018","views","","",0
"03.06.2018","visitors","","",0
"03.06.2018","members","Отписавшиеся подписчики","",1
"31.05.2018","views","","",0
"31.05.2018","visitors","","",0
"31.05.2018","members","Новые подписчики","",1
"30.05.2018","views","","",0
"30.05.2018","visitors","","",0
"30.05.2018","feedback","Нравится","",2
"30.05.2018","members","Новые подписчики","",1
"06.05.2018","views","","",0
"06.05.2018","visitors","","",0
"06.05.2018","feedback","Нравится","",1
"06.05.2018","members","Отписавшиеся подписчики","",1
"30.04.2018","views","","",0
"30.04.2018","visitors","","",0
"30.04.2018","members","Отписавшиеся подписчики","",1
"29.04.2018","views","","",0
"29.04.2018","visitors","","",0
"29.04.2018","members","Отписавшиеся подписчики","",1
"24.04.2018","views","","",0
"24.04.2018","visitors","","",0
"24.04.2018","feedback","Нравится","",1
"24.04.2018","feedback","Рассказали друзьям","",1
"21.04.2018","views","","",0
"21.04.2018","visitors","","",0
"21.04.2018","feedback","Нравится","",1
"21.04.2018","members","Новые подписчики","",1
"17.04.2018","views","","",0
"17.04.2018","visitors","","",0
"17.04.2018","members","Отписавшиеся подписчики","",1
"16.04.2018","views","","",0
"16.04.2018","visitors","","",0
"17.04.2018","members","Новые подписчики","",1
"15.04.2018","views","","",0
"15.04.2018","visitors","","",0
"15.04.2018","members","Новые подписчики","",1
"05.04.2018","views","","",0
"05.04.2018","visitors","","",0
"05.04.2018","members","Новые подписчики","",1
"29.03.2018","views","","",0
"29.03.2018","visitors","","",0
"29.03.2018","members","Новые подписчики","",1
"14.03.2018","views","","",0
"14.03.2018","visitors","","",0
"14.03.2018","members","Новые подписчики","",1
"11.03.2018","views","","",0
"11.03.2018","visitors","","",0
"11.03.2018","feedback","Нравится","",1
"03.03.2018","views","","",0
"03.03.2018","visitors","","",0
"03.03.2018","feedback","Нравится","",1
"03.03.2018","members","Новые подписчики","",1
"24.02.2018","views","","",0
"24.02.2018","visitors","","",0
"24.02.2018","feedback","Нравится","",2
"16.02.2018","views","","",0
"16.02.2018","visitors","","",0
"16.02.2018","feedback","Нравится","",1
"14.02.2018","views","","",0
"14.02.2018","visitors","","",0
"14.02.2018","members","Отписавшиеся подписчики","",1
"13.02.2018","views","","",0
"13.02.2018","visitors","","",0
"13.02.2018","feedback","Нравится","",1
"09.02.2018","views","","",0
"09.02.2018","visitors","","",0
"09.02.2018","members","Новые подписчики","",1
"07.02.2018","views","","",0
"07.02.2018","visitors","","",0
"07.02.2018","members","Отписавшиеся подписчики","",1
"04.02.2018","views","","",0
"04.02.2018","visitors","","",0
"05.02.2018","feedback","Нравится","",2
"05.02.2018","members","Новые подписчики","",1
"29.01.2018","views","","",0
"29.01.2018","visitors","","",0
"29.01.2018","members","Новые подписчики","",1
"14.01.2018","views","","",0
"14.01.2018","visitors","","",0
"14.01.2018","members","Новые подписчики","",1
"11.01.2018","views","","",0
"11.01.2018","visitors","","",0
"11.01.2018","feedback","Нравится","",1
"25.12.2017","views","","",0
"25.12.2017","visitors","","",0
"25.12.2017","members","Отписавшиеся подписчики","",1
"13.12.2017","views","","",0
"13.12.2017","visitors","","",0
"14.12.2017","feedback","Нравится","",2
"14.12.2017","members","Новые подписчики","",1
"12.12.2017","views","","",0
"12.12.2017","visitors","","",0
"12.12.2017","feedback","Нравится","",1
"12.12.2017","feedback","Рассказали друзьям","",1
"11.12.2017","views","","",0
"11.12.2017","visitors","","",0
"12.12.2017","feedback","Нравится","",1
"04.12.2017","views","","",0
"04.12.2017","visitors","","",0
"05.12.2017","feedback","Нравится","",1
"03.12.2017","views","","",0
"03.12.2017","visitors","","",0
"03.12.2017","feedback","Нравится","",3
"03.12.2017","feedback","Рассказали друзьям","",1
"03.12.2017","members","Отписавшиеся подписчики","",2
"02.12.2017","views","","",0
"02.12.2017","visitors","","",0
"03.12.2017","feedback","Нравится","",1
"06.11.2017","views","","",0
"06.11.2017","visitors","","",0
"06.11.2017","members","Отписавшиеся подписчики","",1
"05.11.2017","views","","",0
"05.11.2017","visitors","","",0
"05.11.2017","feedback","Нравится","",2
"03.11.2017","views","","",0
"03.11.2017","visitors","","",0
"03.11.2017","feedback","Нравится","",4
"18.10.2017","views","","",0
"18.10.2017","visitors","","",0
"18.10.2017","members","Новые подписчики","",1
"13.10.2017","views","","",0
"13.10.2017","visitors","","",0
"13.10.2017","members","Новые подписчики","",1
"09.10.2017","views","","",0
"09.10.2017","visitors","","",0
"09.10.2017","members","Новые подписчики","",1
"05.10.2017","views","","",0
"05.10.2017","visitors","","",0
"05.10.2017","members","Новые подписчики","",1
"25.09.2017","views","","",0
"25.09.2017","visitors","","",0
"25.09.2017","members","Отписавшиеся подписчики","",1
"14.09.2017","views","","",0
"14.09.2017","visitors","","",0
"13.09.2017","views","","",0
"13.09.2017","visitors","","",0
"14.09.2017","feedback","Нравится","",1
"07.09.2017","views","","",0
"07.09.2017","visitors","","",0
"07.09.2017","members","Отписавшиеся подписчики","",1
"21.08.2017","views","","",0
"21.08.2017","visitors","","",0
"21.08.2017","feedback","Нравится","",1
"17.08.2017","views","","",0
"17.08.2017","visitors","","",0
"17.08.2017","members","Новые подписчики","",1
"17.08.2017","members","Отписавшиеся подписчики","",1
"11.08.2017","views","","",0
"11.08.2017","visitors","","",0
"11.08.2017","feedback","Нравится","",1
"29.07.2017","views","","",0
"29.07.2017","visitors","","",0
"29.07.2017","feedback","Нравится","",1
"27.07.2017","views","","",0
"27.07.2017","visitors","","",0
"27.07.2017","feedback","Нравится","",1
"20.07.2017","views","","",0
"20.07.2017","visitors","","",0
"20.07.2017","feedback","Нравится","",1
"20.07.2017","members","Отписавшиеся подписчики","",1
"16.07.2017","views","","",0
"16.07.2017","visitors","","",0
"16.07.2017","members","Новые подписчики","",1
"10.07.2017","views","","",0
"10.07.2017","visitors","","",0
"10.07.2017","members","Отписавшиеся подписчики","",1
"01.07.2017","views","","",0
"01.07.2017","visitors","","",0
"01.07.2017","feedback","Нравится","",1
"27.06.2017","views","","",0
"27.06.2017","visitors","","",0
"27.06.2017","members","Отписавшиеся подписчики","",1
"26.06.2017","views","","",0
"26.06.2017","visitors","","",0
"26.06.2017","feedback","Нравится","",1
"24.06.2017","views","","",0
"24.06.2017","visitors","","",0
"24.06.2017","feedback","Нравится","",2
"23.06.2017","views","","",0
"23.06.2017","visitors","","",0
"23.06.2017","feedback","Нравится","",9
"21.06.2017","views","","",0
"21.06.2017","visitors","","",0
"22.06.2017","members","Отписавшиеся подписчики","",1
"16.06.2017","views","","",0
"16.06.2017","visitors","","",0
"16.06.2017","feedback","Нравится","",1
"06.06.2017","views","","",0
"06.06.2017","visitors","","",0
"06.06.2017","members","Отписавшиеся подписчики","",1
"01.06.2017","views","","",0
"01.06.2017","visitors","","",0
"01.06.2017","feedback","Нравится","",1
"22.05.2017","views","","",0
"22.05.2017","visitors","","",0
"22.05.2017","feedback","Нравится","",1
"01.05.2017","views","","",0
"01.05.2017","visitors","","",0
"01.05.2017","members","Отписавшиеся подписчики","",1
"19.04.2017","views","","",0
"19.04.2017","visitors","","",0
"19.04.2017","members","Отписавшиеся подписчики","",1
"17.04.2017","views","","",0
"17.04.2017","visitors","","",0
"17.04.2017","members","Отписавшиеся подписчики","",1
"04.04.2017","views","","",0
"04.04.2017","visitors","","",0
"04.04.2017","feedback","Нравится","",1
"03.04.2017","views","","",0
"03.04.2017","visitors","","",0
"04.04.2017","members","Отписавшиеся подписчики","",1
"02.04.2017","views","","",0
"02.04.2017","visitors","","",0
"02.04.2017","feedback","Нравится","",1
"01.04.2017","views","","",0
"01.04.2017","visitors","","",0
"01.04.2017","members","Отписавшиеся подписчики","",1
"25.03.2017","views","","",0
"25.03.2017","visitors","","",0
"25.03.2017","feedback","Нравится","",1
"23.03.2017","views","","",0
"23.03.2017","visitors","","",0
"23.03.2017","feedback","Нравится","",1
"21.03.2017","views","","",0
"21.03.2017","visitors","","",0
"21.03.2017","feedback","Нравится","",1
"14.03.2017","views","","",0
"14.03.2017","visitors","","",0
"14.03.2017","members","Новые подписчики","",1
"11.03.2017","views","","",0
"11.03.2017","visitors","","",0
"11.03.2017","feedback","Нравится","",1
"09.03.2017","views","","",0
"09.03.2017","visitors","","",0
"09.03.2017","members","Новые подписчики","",1
"04.03.2017","views","","",0
"04.03.2017","visitors","","",0
"04.03.2017","members","Новые подписчики","",1
"02.03.2017","views","","",0
"02.03.2017","visitors","","",0
"02.03.2017","feedback","Нравится","",1
"02.03.2017","members","Новые подписчики","",1
"27.02.2017","views","","",0
"27.02.2017","visitors","","",0
"27.02.2017","feedback","Нравится","",1
"23.02.2017","views","","",0
"23.02.2017","visitors","","",0
"23.02.2017","feedback","Нравится","",1
"23.02.2017","members","Новые подписчики","",1
"15.02.2017","views","","",0
"15.02.2017","visitors","","",0
"15.02.2017","members","Новые подписчики","",1
"12.02.2017","views","","",0
"12.02.2017","visitors","","",0
"12.02.2017","members","Новые подписчики","",1
"03.02.2017","views","","",0
"03.02.2017","visitors","","",0
"03.02.2017","members","Отписавшиеся подписчики","",1
"26.01.2017","views","","",0
"26.01.2017","visitors","","",0
"26.01.2017","feedback","Нравится","",3
"13.01.2017","views","","",0
"13.01.2017","visitors","","",0
"13.01.2017","members","Отписавшиеся подписчики","",1
"09.01.2017","views","","",0
"09.01.2017","visitors","","",0
"09.01.2017","members","Новые подписчики","",1
"08.01.2017","views","","",0
"08.01.2017","visitors","","",0
"08.01.2017","members","Новые подписчики","",1
"03.01.2017","views","","",0
"03.01.2017","visitors","","",0
"03.01.2017","feedback","Нравится","",1
"02.01.2017","views","","",0
"02.01.2017","visitors","","",0
"03.01.2017","feedback","Нравится","",1
"30.12.2016","views","","",0
"30.12.2016","visitors","","",0
"30.12.2016","members","Отписавшиеся подписчики","",1
"28.12.2016","views","","",0
"28.12.2016","visitors","","",0
"29.12.2016","members","Отписавшиеся подписчики","",1
"21.12.2016","views","","",0
"21.12.2016","visitors","","",0
"21.12.2016","members","Новые подписчики","",1
"19.12.2016","views","","",0
"19.12.2016","visitors","","",0
"19.12.2016","feedback","Нравится","",1
"19.12.2016","members","Новые подписчики","",2
"17.12.2016","views","","",0
"17.12.2016","visitors","","",0
"17.12.2016","feedback","Нравится","",1
"13.12.2016","views","","",0
"13.12.2016","visitors","","",0
"13.12.2016","members","Отписавшиеся подписчики","",1
"12.12.2016","views","","",0
"12.12.2016","visitors","","",0
"12.12.2016","members","Отписавшиеся подписчики","",1
"11.12.2016","views","","",0
"11.12.2016","visitors","","",0
"11.12.2016","members","Отписавшиеся подписчики","",1
"09.12.2016","views","","",0
"09.12.2016","visitors","","",0
"09.12.2016","feedback","Нравится","",1
"09.12.2016","members","Новые подписчики","",1
"06.12.2016","views","","",0
"06.12.2016","visitors","","",0
"06.12.2016","feedback","Нравится","",4
"05.12.2016","views","","",0
"05.12.2016","visitors","","",0
"05.12.2016","members","Новые подписчики","",1
"04.12.2016","views","","",0
"04.12.2016","visitors","","",0
"04.12.2016","feedback","Нравится","",1
"04.12.2016","members","Новые подписчики","",1
"02.12.2016","views","","",0
"02.12.2016","visitors","","",0
"02.12.2016","feedback","Нравится","",1
"01.12.2016","views","","",0
"01.12.2016","visitors","","",0
"01.12.2016","members","Новые подписчики","",1
"30.11.2016","views","","",0
"30.11.2016","visitors","","",0
"30.11.2016","feedback","Нравится","",1
"25.11.2016","views","","",0
"25.11.2016","visitors","","",0
"25.11.2016","feedback","Нравится","",2
"25.11.2016","feedback","Рассказали друзьям","",1
"25.11.2016","members","Отписавшиеся подписчики","",1
"24.11.2016","views","","",0
"24.11.2016","visitors","","",0
"24.11.2016","feedback","Нравится","",4
"24.11.2016","feedback","Рассказали друзьям","",3
"19.11.2016","views","","",0
"19.11.2016","visitors","","",0
"19.11.2016","feedback","Нравится","",2
"17.11.2016","views","","",0
"17.11.2016","visitors","","",0
"17.11.2016","feedback","Нравится","",1
"16.11.2016","views","","",0
"16.11.2016","visitors","","",0
"16.11.2016","members","Новые подписчики","",1
"14.11.2016","views","","",0
"14.11.2016","visitors","","",0
"14.11.2016","feedback","Нравится","",1
"12.11.2016","views","","",0
"12.11.2016","visitors","","",0
"12.11.2016","feedback","Нравится","",1
"11.11.2016","views","","",0
"11.11.2016","visitors","","",0
"10.11.2016","views","","",0
"10.11.2016","visitors","","",0
"09.11.2016","views","","",0
"09.11.2016","visitors","","",0
"09.11.2016","feedback","Нравится","",1
"08.11.2016","views","","",0
"08.11.2016","visitors","","",0
"08.11.2016","feedback","Нравится","",1
"02.11.2016","views","","",0
"02.11.2016","visitors","","",0
"02.11.2016","feedback","Нравится","",1
"29.10.2016","views","","",0
"29.10.2016","visitors","","",0
"29.10.2016","members","Отписавшиеся подписчики","",1
"28.10.2016","views","","",0
"28.10.2016","visitors","","",0
"29.10.2016","feedback","Нравится","",1
"22.10.2016","views","","",0
"22.10.2016","visitors","","",0
"22.10.2016","feedback","Нравится","",1
"16.10.2016","views","","",0
"16.10.2016","visitors","","",0
"16.10.2016","members","Отписавшиеся подписчики","",1
"11.10.2016","views","","",0
"11.10.2016","visitors","","",0
"11.10.2016","feedback","Нравится","",2
"26.09.2016","views","","",0
"26.09.2016","visitors","","",0
"26.09.2016","feedback","Нравится","",2
"22.09.2016","views","","",0
"22.09.2016","visitors","","",0
"22.09.2016","members","Новые подписчики","",1
"19.09.2016","views","","",0
"19.09.2016","visitors","","",0
"19.09.2016","feedback","Нравится","",2
"18.09.2016","views","","",0
"18.09.2016","visitors","","",0
"18.09.2016","feedback","Нравится","",1
"17.09.2016","views","","",0
"17.09.2016","visitors","","",0
"17.09.2016","members","Новые подписчики","",1
"16.09.2016","views","","",0
"16.09.2016","visitors","","",0
"16.09.2016","feedback","Нравится","",2
"16.09.2016","feedback","Рассказали друзьям","",1
"14.09.2016","views","","",0
"14.09.2016","visitors","","",0
"14.09.2016","members","Новые подписчики","",2
"14.09.2016","members","Отписавшиеся подписчики","",1
"13.09.2016","views","","",0
"13.09.2016","visitors","","",0
"13.09.2016","feedback","Нравится","",3
"11.09.2016","views","","",0
"11.09.2016","visitors","","",0
"11.09.2016","members","Новые подписчики","",1
"10.09.2016","views","","",0
"10.09.2016","visitors","","",0
"10.09.2016","feedback","Нравится","",1
"07.09.2016","views","","",0
"07.09.2016","visitors","","",0
"07.09.2016","feedback","Нравится","",2
"03.09.2016","views","","",0
"03.09.2016","visitors","","",0
"03.09.2016","members","Новые подписчики","",1
"02.09.2016","views","","",0
"02.09.2016","visitors","","",0
"02.09.2016","feedback","Нравится","",1
"02.09.2016","members","Новые подписчики","",1
"01.09.2016","views","","",0
"01.09.2016","visitors","","",0
"01.09.2016","feedback","Нравится","",1
"01.09.2016","members","Новые подписчики","",3
"31.08.2016","views","","",0
"31.08.2016","visitors","","",0
"31.08.2016","feedback","Нравится","",2
"31.08.2016","feedback","Рассказали друзьям","",1
"31.08.2016","members","Отписавшиеся подписчики","",1
"27.08.2016","views","","",0
"27.08.2016","visitors","","",0
"27.08.2016","feedback","Нравится","",2
"24.08.2016","views","","",0
"24.08.2016","visitors","","",0
"24.08.2016","members","Новые подписчики","",1
"19.08.2016","views","","",0
"19.08.2016","visitors","","",0
"19.08.2016","members","Новые подписчики","",1
"17.08.2016","views","","",0
"17.08.2016","visitors","","",0
"17.08.2016","members","Новые подписчики","",1
"14.08.2016","views","","",0
"14.08.2016","visitors","","",0
"14.08.2016","feedback","Нравится","",1
"08.08.2016","views","","",0
"08.08.2016","visitors","","",0
"08.08.2016","members","Новые подписчики","",1
"03.08.2016","views","","",0
"03.08.2016","visitors","","",0
"03.08.2016","members","Новые подписчики","",1
"03.08.2016","members","Отписавшиеся подписчики","",1
"01.08.2016","views","","",0
"01.08.2016","visitors","","",0
"31.07.2016","views","","",0
"31.07.2016","visitors","","",0
"31.07.2016","members","Новые подписчики","",1
"28.07.2016","views","","",0
"28.07.2016","visitors","","",0
"28.07.2016","members","Новые подписчики","",1
"11.07.2016","views","","",0
"11.07.2016","visitors","","",0
"11.07.2016","members","Новые подписчики","",1
"06.07.2016","views","","",0
"06.07.2016","visitors","","",0
"06.07.2016","feedback","Нравится","",1
"05.07.2016","views","","",0
"05.07.2016","visitors","","",0
"05.07.2016","feedback","Нравится","",1
"01.07.2016","views","","",0
"01.07.2016","visitors","","",0
"30.06.2016","views","","",0
"30.06.2016","visitors","","",0
"30.06.2016","members","Новые подписчики","",1
"27.06.2016","views","","",0
"27.06.2016","visitors","","",0
"27.06.2016","members","Новые подписчики","",1
"26.06.2016","views","","",0
"26.06.2016","visitors","","",0
"26.06.2016","members","Новые подписчики","",2
"25.06.2016","views","","",0
"25.06.2016","visitors","","",0
"26.06.2016","members","Отписавшиеся подписчики","",1
"24.06.2016","views","","",0
"24.06.2016","visitors","","",0
"24.06.2016","members","Отписавшиеся подписчики","",1
"21.06.2016","views","","",0
"21.06.2016","visitors","","",0
"21.06.2016","members","Новые подписчики","",1
"20.06.2016","views","","",0
"20.06.2016","visitors","","",0
"20.06.2016","members","Новые подписчики","",1
"07.06.2016","views","","",0
"07.06.2016","visitors","","",0
"07.06.2016","feedback","Нравится","",1
"07.06.2016","members","Новые подписчики","",1
"01.06.2016","views","","",0
"01.06.2016","visitors","","",0
"28.05.2016","views","","",0
"28.05.2016","visitors","","",0
"29.05.2016","feedback","Нравится","",1
"27.05.2016","views","","",0
"27.05.2016","visitors","","",0
"27.05.2016","feedback","Нравится","",2
"26.05.2016","views","","",0
"26.05.2016","visitors","","",0
"26.05.2016","feedback","Нравится","",1
"24.05.2016","views","","",0
"24.05.2016","visitors","","",0
"24.05.2016","members","Отписавшиеся подписчики","",1
"18.05.2016","views","","",0
"18.05.2016","visitors","","",0
"18.05.2016","members","Новые подписчики","",1
"18.05.2016","members","Отписавшиеся подписчики","",1
"14.05.2016","views","","",0
"14.05.2016","visitors","","",0
"14.05.2016","feedback","Нравится","",1
"13.05.2016","views","","",0
"13.05.2016","visitors","","",0
"13.05.2016","members","Отписавшиеся подписчики","",1
"12.05.2016","views","","",0
"12.05.2016","visitors","","",0
"12.05.2016","members","Новые подписчики","",1
"10.05.2016","views","","",0
"10.05.2016","visitors","","",0
"10.05.2016","members","Отписавшиеся подписчики","",1
"09.05.2016","views","","",0
"09.05.2016","visitors","","",0
"09.05.2016","members","Новые подписчики","",1
"01.05.2016","views","","",0
"01.05.2016","visitors","","",0
"28.04.2016","views","","",0
"28.04.2016","visitors","","",0
"28.04.2016","members","Отписавшиеся подписчики","",1
"20.04.2016","views","","",0
"20.04.2016","visitors","","",0
"15.04.2016","views","","",0
"15.04.2016","visitors","","",0
"15.04.2016","feedback","Нравится","",1
"13.04.2016","views","","",0
"13.04.2016","visitors","","",0
"14.04.2016","feedback","Нравится","",1
"10.04.2016","views","","",0
"10.04.2016","visitors","","",0
"10.04.2016","feedback","Нравится","",1
"09.04.2016","views","","",0
"09.04.2016","visitors","","",0
"10.04.2016","feedback","Нравится","",1
"05.04.2016","views","","",0
"05.04.2016","visitors","","",0
"05.04.2016","feedback","Нравится","",1
"03.04.2016","views","","",0
"03.04.2016","visitors","","",0
"04.04.2016","members","Отписавшиеся подписчики","",1
"01.04.2016","views","","",0
"01.04.2016","visitors","","",0
"30.03.2016","views","","",0
"30.03.2016","visitors","","",0
"30.03.2016","members","Новые подписчики","",1
"28.03.2016","views","","",0
"28.03.2016","visitors","","",0
"28.03.2016","members","Отписавшиеся подписчики","",1
"23.03.2016","views","","",0
"23.03.2016","visitors","","",0
"23.03.2016","feedback","Нравится","",1
"18.03.2016","views","","",0
"18.03.2016","visitors","","",0
"18.03.2016","feedback","Нравится","",5
"17.03.2016","views","","",0
"17.03.2016","visitors","","",0
"17.03.2016","feedback","Нравится","",1
"16.03.2016","views","","",0
"16.03.2016","visitors","","",0
"16.03.2016","feedback","Нравится","",2
"16.03.2016","feedback","Рассказали друзьям","",1
"14.03.2016","views","","",0
"14.03.2016","visitors","","",0
"14.03.2016","members","Новые подписчики","",1
"13.03.2016","views","","",0
"13.03.2016","visitors","","",0
"14.03.2016","feedback","Нравится","",1
"12.03.2016","views","","",0
"12.03.2016","visitors","","",0
"12.03.2016","feedback","Нравится","",2
"10.03.2016","views","","",0
"10.03.2016","visitors","","",0
"10.03.2016","feedback","Нравится","",6
"03.03.2016","views","","",0
"03.03.2016","visitors","","",0
"03.03.2016","feedback","Нравится","",1
"02.03.2016","views","","",0
"02.03.2016","visitors","","",0
"02.03.2016","feedback","Нравится","",1
"01.03.2016","views","","",0
"01.03.2016","visitors","","",0
"01.03.2016","feedback","Нравится","",1
"28.02.2016","views","","",0
"28.02.2016","visitors","","",0
"29.02.2016","feedback","Нравится","",1
"25.02.2016","views","","",0
"25.02.2016","visitors","","",0
"26.02.2016","feedback","Нравится","",2
"24.02.2016","views","","",0
"24.02.2016","visitors","","",0
"24.02.2016","feedback","Нравится","",1
"23.02.2016","views","","",0
"23.02.2016","visitors","","",0
"23.02.2016","feedback","Нравится","",3
"21.02.2016","views","","",0
"21.02.2016","visitors","","",0
"21.02.2016","feedback","Нравится","",2
"20.02.2016","views","","",0
"20.02.2016","visitors","","",0
"20.02.2016","feedback","Нравится","",1
"19.02.2016","views","","",0
"19.02.2016","visitors","","",0
"19.02.2016","feedback","Нравится","",1
"17.02.2016","views","","",0
"17.02.2016","visitors","","",0
"16.02.2016","views","","",0
"16.02.2016","visitors","","",0
"16.02.2016","feedback","Нравится","",1
"13.02.2016","views","","",0
"13.02.2016","visitors","","",0
"13.02.2016","members","Новые подписчики","",1
"05.02.2016","views","","",0
"05.02.2016","visitors","","",0
"05.02.2016","feedback","Нравится","",1
"03.02.2016","views","","",0
"03.02.2016","visitors","","",0
"03.02.2016","members","Новые подписчики","",1
"01.02.2016","views","","",0
"01.02.2016","visitors","","",0
"01.02.2016","feedback","Нравится","",1
